source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
718,1789484858.7732964,46759.6052231,216,0,d8000000a6642b601366ba5c65ec1a2e2593f534
719,1789484858.7739744,46759.6059013,216,1,d80001007f287c823bc9624c35159da4b48132c4
720,1789484858.7747798,46759.6067066,216,2,d8000200a003602ad32169be0000d800b48132c4
721,1789484858.793296,46759.625223,217,0,d9000000b66472041c20709505441c119a38c8be
722,1789484858.7939932,46759.6259201,217,1,d90001000e075e116ff42f11586148c121cc94c5
723,1789484858.7947845,46759.6267111,217,2,d900020047c30e910e3bb58f0000d90021cc94c5
724,1789484858.813327,46759.645254,218,0,da00000026746c044744b590f746448024564823
725,1789484858.8140442,46759.645971,218,1,da0001000770bea0437bb915846db5a09f0c48a7
726,1789484858.8147697,46759.6466964,218,2,da000200a29cb0eebf7b69c60000da009f0c48a7
727,1789484858.8332977,46759.6652244,219,0,db000000fe6c2c061721239e7d920f8636714eb8
728,1789484858.8339977,46759.6659246,219,1,db00010061501f6715b3c68314c38d4615b90804
729,1789484858.8347852,46759.6667122,219,2,db000200db628cc40e13e9e10000db0015b90804
730,1789484858.8533003,46759.6852268,220,0,dc000000da64dece78094c64a24690642d1f605e
731,1789484858.8539836,46759.6859106,220,1,dc000100b63625485db0f25572a6d13cf2e7d2aa
732,1789484858.854792,46759.6867189,220,2,dc0002008c679f300f13dbb90000dc00f2e7d2aa
733,1789484858.8733015,46759.7052281,221,0,dd000000ef6262a47399aa81b6cdcb17f318755f
734,1789484858.8740108,46759.7059376,221,1,dd00010037565fc51b2faa93f9294b2c6893351a
735,1789484858.8747807,46759.7067075,221,2,dd000200e018ba4a00cce9fb0000dd006893351a
736,1789484858.893322,46759.7252487,222,0,de0000002a6ce20498089ac68ab3b57fc5b3b24f
737,1789484858.8940222,46759.7259488,222,1,de000100d07351b31e0d4039477717625be321fa
738,1789484858.8948083,46759.726735,222,2,de000200fa5294ae273499f40000de005be321fa
739,1789484858.913299,46759.7452259,223,0,df00000036640afe92ac15ae8901caff5145fe51
740,1789484858.913977,46759.7459037,223,1,df00010050799abc86c5994ba2a677716b9af6d4
741,1789484858.9148166,46759.7467431,223,2,df000200efc2881ca67b69860000df006b9af6d4
742,1789484858.933309,46759.7652359,224,0,e00000008e63ff0127368c5b0af5a080aac80177
743,1789484858.9340234,46759.7659501,224,1,e0000100c523c28a4db23e807623f1d914d856cf
744,1789484858.9347742,46759.7667011,224,2,e00002006e42090e4658e9ef0000e00014d856cf
745,1789484858.9532971,46759.7852239,225,0,e10000008d6bbae14fe8f625ab578e9869d841be
746,1789484858.9540122,46759.7859388,225,1,e10001000ba23b870f07f566ab4d52d316a14d7f
747,1789484858.9547877,46759.7867145,225,2,e1000200b9cbcb53a63ae9fb0000e10016a14d7f
748,1789484858.973313,46759.8052397,226,0,e20000008e6362009466c5cd86c143fbec444c3c
749,1789484858.974006,46759.8059328,226,1,e20001005f9d762e40d49b5008645a4cb8713663
750,1789484858.974829,46759.806756,226,2,e2000200875c48742734e93b0000e200b8713663
751,1789484858.9933257,46759.8252527,227,0,e3000000a76c7d7eb74db600900cf44d9198d4d0
752,1789484858.994011,46759.8259376,227,1,e300010058f53083818d155b0c6bdd3caa7f7e06
753,1789484858.9948108,46759.8267378,227,2,e3000200c0169e5d4e0829490000e300aa7f7e06
754,1789484859.0133314,46759.8452583,228,0,e4000000366c350cbe1ef3434915bd9958410ec1
755,1789484859.0140364,46759.8459633,228,1,e4000100af0fee681fb64893856c70004e207145
756,1789484859.0147831,46759.8467101,228,2,e40002000b91c2029a8311a40000e4004e207145
757,1789484859.0333285,46759.8652555,229,0,e50000009663e6c48f008c58400216d7cdafa433
758,1789484859.0340347,46759.8659614,229,1,e50001008a7e0c62bd45025176a8657f2337223a
759,1789484859.0347848,46759.8667115,229,2,e5000200689413d6b4ee59200000e5002337223a
760,1789484859.0532997,46759.8852264,230,0,e60000002a6ce20ead520e40f13447363416320e
761,1789484859.0540214,46759.8859481,230,1,e6000100360494c835015fa28eae88ae4387c77f
762,1789484859.0547705,46759.8866972,230,2,e600020088943e3d47f150090000e6004387c77f
