source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
333,1789484798.5608013,46699.3927281,91,0,5b00000038ab10e2b68827fa5c46589e1f4b10c2
334,1789484798.5615032,46699.3934299,91,1,5b000100947d8b8c6fd0cce0a2c1d78e05dd149f
335,1789484798.5622795,46699.3942063,91,2,5b000200fa08be7b2a77a92e01005b0005dd149f
336,1789484798.5808227,46699.4127497,92,0,5c00000015b431784ac79834144f2ae0e7d347c8
337,1789484798.5815232,46699.4134501,92,1,5c00010042ccb3f4e9615eab858314cb75094f3f
338,1789484798.582279,46699.4142055,92,2,5c00020094e73491cd9de9fb01005c0075094f3f
339,1789484798.600839,46699.4327656,93,0,5d00000057b731f5fb40080e708bb94c2fa41b57
340,1789484798.6015053,46699.433432,93,1,5d00010034cce5728ea06a009b76979047e220a9
341,1789484798.6022768,46699.4342036,93,2,5d000200046a12418a9ae93b01005d0047e220a9
342,1789484798.620799,46699.4527259,94,0,5e000000ba9d9d48c7380e550a230a3069e1d6c9
343,1789484798.6215043,46699.453431,94,1,5e000100978c8785c513b21f17441521264c4cc7
344,1789484798.6222792,46699.4542059,94,2,5e000200ed286cc88359428301005e00264c4cc7
345,1789484798.640793,46699.47272,95,0,5f0000005ea4a9ce3b1d95745e16b00849434fe6
346,1789484798.6415045,46699.4734313,95,1,5f00010009289e802f5d5922625f4d93a39febe7
347,1789484798.6422856,46699.4742123,95,2,5f0002006bf982f6185be9fb01005f00a39febe7
348,1789484798.6607678,46699.4926945,96,0,60000000369cbf00dcb17e9d4052028184ed7d7a
349,1789484798.6614969,46699.4934235,96,1,60000100dfad55c216ec029e2dcff4acaaf4072a
350,1789484798.662265,46699.4941919,96,2,600002002919b9553eeee9ad00006000aaf4072a
351,1789484798.6808095,46699.5127363,97,0,61000000b68c7923ea0636482a1b6e8c8f0cdf30
352,1789484798.6815188,46699.5134457,97,1,61000100d8e622c70e648c26bb5d2703ea27ddb5
353,1789484798.6822803,46699.514207,97,2,610002001ed8c720b6d2e9eb00006100ea27ddb5
354,1789484798.7007985,46699.5327252,98,0,62000000369db47ced85a80693bc56153c61b13e
355,1789484798.701519,46699.5334458,98,1,6200010098d44b36dc4849fd4a9214956f06e1db
356,1789484798.7022958,46699.5342225,98,2,620002004e34f10ca69ac15f010062006f06e1db
357,1789484798.7208343,46699.5527612,99,0,63000000beb78cf00d7b58588c16109b83b617e8
358,1789484798.7215075,46699.5534344,99,1,63000100f6429c792230976044b791c34874a640
359,1789484798.7223,46699.5542268,99,2,630002000468513182b12d0f010063004874a640
360,1789484798.740788,46699.5727148,100,0,64000000aea55d46d5f4f075079dfc1ce9631b34
361,1789484798.741523,46699.5734498,100,1,6400010030d48ea8ce4c671339946e0080110d0c
362,1789484798.7422934,46699.57422,100,2,640002005f686b87d75ce9fb0100640080110d0c
363,1789484798.7608047,46699.5927313,101,0,65000000afa55cf6e2452453b38ba4ccdc91ee91
364,1789484798.761503,46699.5934297,101,1,65000100c7291395f7bd42731059dd86f7498748
365,1789484798.7622812,46699.5942081,101,2,6500020046abdf80d146e9fb02006500f7498748
366,1789484798.7808156,46699.6127424,102,0,66000000d1b842bdf12da7b06462be2027b4c5c4
367,1789484798.7815087,46699.6134353,102,1,660001003d5f8e3454b60268c169ee09a9ef8b12
368,1789484798.7822871,46699.6142139,102,2,66000200c1ac83c301e6e91b01006600a9ef8b12
369,1789484798.8008344,46699.632761,103,0,6700000026af480dd1e15a7fac99bd87de594f63
370,1789484798.801509,46699.6334356,103,1,67000100fbe500a4352b52a5f1205985b312a83c
371,1789484798.8022811,46699.634208,103,2,6700020088cd5e5998ab496803006700b312a83c
372,1789484798.8208013,46699.6527282,104,0,68000000d3c5d40d31cd8f0bb8136f457e16cba8
373,1789484798.8215065,46699.6534333,104,1,68000100c11680c6272fc45e20365c13bf1c1e8d
374,1789484798.8223064,46699.654233,104,2,68000200dcfd1601d59e716a04006800bf1c1e8d
375,1789484798.840804,46699.6727308,105,0,690000009cc4c784aef2fd3e978addadcbf81b26
376,1789484798.8415127,46699.6734396,105,1,6900010063680e0ed1c6c94f0880da0824754204
377,1789484798.842295,46699.6742217,105,2,690002002fe2324a5759495a0400690024754204
378,1789484798.860826,46699.692753,106,0,6a0000003dcf03001303c780df8024914555225d
379,1789484798.8615117,46699.6934386,106,1,6a00010076b4af7aee58532ef0a526e860001d0e
380,1789484798.8623116,46699.6942386,106,2,6a000200d3d8430adcbe69c304006a0060001d0e
381,1789484798.8808393,46699.712766,107,0,6b00000021cf8a0ea60f5aac0e4ffcecdf47be25
382,1789484798.8815036,46699.7134303,107,1,6b000100af9a248a82b1a5ce731ebb5d94a6a44e
